True News,Count,Percentage,Precision,Recall,F1,Accuracy,Fake News,Count,Percentage,Precision,Recall,F1,Accuracy,Unknow,Count,Percentage
0.99,47,0.63%,100.00%,1.24%,2.45%,100.00%,0.99,7460,99.37%,49.79%,100.00%,66.48%,49.79%,不确定,0,0.00%,--,--,--,--
0.99,47,0.63%,100.00%,1.24%,2.45%,100.00%,0.9899,7460,99.37%,49.79%,100.00%,66.48%,49.79%,不确定,0,0.00%,--,--,--,--
0.99,47,0.63%,100.00%,1.24%,2.45%,100.00%,0.9898,7460,99.37%,49.79%,100.00%,66.48%,49.79%,不确定,0,0.00%,--,--,--,--
0.99,47,0.63%,100.00%,1.24%,2.45%,100.00%,0.9897,7459,99.36%,49.79%,100.00%,66.48%,49.79%,不确定,1,0.01%,--,--,--,--
0.99,47,0.63%,100.00%,1.24%,2.45%,100.00%,0.9896,7459,99.36%,49.79%,100.00%,66.48%,49.79%,不确定,1,0.01%,--,--,--,--
0.99,47,0.63%,100.00%,1.24%,2.45%,100.00%,0.9895,7458,99.35%,49.80%,100.00%,66.49%,49.80%,不确定,2,0.03%,--,--,--,--
0.99,47,0.63%,100.00%,1.24%,2.45%,100.00%,0.9894000000000001,7458,99.35%,49.80%,100.00%,66.49%,49.80%,不确定,2,0.03%,--,--,--,--
0.99,47,0.63%,100.00%,1.24%,2.45%,100.00%,0.9893000000000001,7458,99.35%,49.80%,100.00%,66.49%,49.80%,不确定,2,0.03%,--,--,--,--
0.99,47,0.63%,100.00%,1.24%,2.45%,100.00%,0.9892000000000001,7458,99.35%,49.80%,100.00%,66.49%,49.80%,不确定,2,0.03%,--,--,--,--
0.99,47,0.63%,100.00%,1.24%,2.45%,100.00%,0.9891000000000001,7458,99.35%,49.80%,100.00%,66.49%,49.80%,不确定,2,0.03%,--,--,--,--
0.99,47,0.63%,100.00%,1.24%,2.45%,100.00%,0.9890000000000001,7458,99.35%,49.80%,100.00%,66.49%,49.80%,不确定,2,0.03%,--,--,--,--
0.99,47,0.63%,100.00%,1.24%,2.45%,100.00%,0.9889000000000001,7458,99.35%,49.80%,100.00%,66.49%,49.80%,不确定,2,0.03%,--,--,--,--
0.99,47,0.63%,100.00%,1.24%,2.45%,100.00%,0.9888000000000001,7458,99.35%,49.80%,100.00%,66.49%,49.80%,不确定,2,0.03%,--,--,--,--
0.99,47,0.63%,100.00%,1.24%,2.45%,100.00%,0.9887000000000001,7458,99.35%,49.80%,100.00%,66.49%,49.80%,不确定,2,0.03%,--,--,--,--
0.99,47,0.63%,100.00%,1.24%,2.45%,100.00%,0.9886000000000001,7458,99.35%,49.80%,100.00%,66.49%,49.80%,不确定,2,0.03%,--,--,--,--
